CIF,Account Number,Account Name,Product Type,Region,End Balance,Days_Since_Last_Txn,Dormancy_Risk_Score
CIF01009985,ACC0002009985,Customer_9986,Tirufat Savings Account,Somali,2966.11,279,0.9999997404758517
CIF01000007,ACC0002000007,Customer_8,Special Saving Account,Amhara,3729.3,256,0.9999997404758517
CIF01000019,ACC0002000019,Customer_20,Blatena Saving Account,Amhara,10654.45,218,0.9999997404758517
CIF01000020,ACC0002000020,Customer_21,Ordinary Saving Account,Amhara,52633.48,218,0.9999997404758517
CIF01000029,ACC0002000029,Customer_30,Blatena Saving Account,Addis Ababa,67910.74,292,0.9999997404758517
CIF01000037,ACC0002000037,Customer_38,Ordinary Saving Account,Afar,3672.94,187,0.9999997404758517
CIF01000043,ACC0002000043,Customer_44,Special Saving Account,Addis Ababa,44894.93,219,0.9999997404758517
CIF01000047,ACC0002000047,Customer_48,Blatena Saving Account,Addis Ababa,404.69,226,0.9999997404758517
CIF01009744,ACC0002009744,Customer_9745,Asrat Bekurat Saving Account,Addis Ababa,9584.44,217,0.9999997404758517
CIF01009725,ACC0002009725,Customer_9726,Special Saving Account,Oromia,2305.54,323,0.9999997404758517
CIF01009681,ACC0002009681,Customer_9682,Ordinary Saving Account,Addis Ababa,33298.71,201,0.9999997404758517
CIF01009679,ACC0002009679,Customer_9680,Janderebaw Saving Account,Oromia,40153.7,221,0.9999997404758517
CIF01009666,ACC0002009666,Customer_9667,Washera Saving Account,SNNPR,19597.82,206,0.9999997404758517
CIF01009657,ACC0002009657,Customer_9658,Washera Saving Account,Harari,12455.23,327,0.9999997404758517
CIF01009649,ACC0002009649,Customer_9650,Werazut Saving Account,Addis Ababa,307645.44,322,0.9999997404758517
CIF01009634,ACC0002009634,Customer_9635,Hiruyan Saving Account,Amhara,1401.76,237,0.9999997404758517
CIF01009627,ACC0002009627,Customer_9628,Blatena Saving Account,Addis Ababa,79321.34,184,0.9999997404758517
CIF01009619,ACC0002009619,Customer_9620,Hiruyan Saving Account,Addis Ababa,18013.91,353,0.9999997404758517
CIF01009590,ACC0002009590,Customer_9591,Dekemezmur Saving Account,Harari,25310.11,208,0.9999997404758517
CIF01009571,ACC0002009571,Customer_9572,Agape Saving Account,Oromia,15890.19,355,0.9999997404758517
CIF01009556,ACC0002009556,Customer_9557,Tirufat Savings Account,SNNPR,42894.33,311,0.9999997404758517
CIF01009548,ACC0002009548,Customer_9549,Ahati Saving Account,SNNPR,74606.92,258,0.9999997404758517
CIF01009529,ACC0002009529,Customer_9530,Werazut Saving Account,Amhara,6168.3,299,0.9999997404758517
CIF01009514,ACC0002009514,Customer_9515,Washera Saving Account,Addis Ababa,4243.82,210,0.9999997404758517
CIF01000538,ACC0002000538,Customer_539,Werazut Saving Account,Addis Ababa,14101.4,342,0.9999997404758517
CIF01000532,ACC0002000532,Customer_533,Werazut Saving Account,Tigray,6129.43,311,0.9999997404758517
CIF01000519,ACC0002000519,Customer_520,Werazut Saving Account,Addis Ababa,142023.42,226,0.9999997404758517
CIF01000512,ACC0002000512,Customer_513,Dekemezmur Saving Account,Addis Ababa,4998.3,276,0.9999997404758517
CIF01000488,ACC0002000488,Customer_489,Agape Saving Account,Addis Ababa,1262.81,230,0.9999997404758517
CIF01000480,ACC0002000480,Customer_481,Ahati Saving Account,Dire Dawa,56548.04,192,0.9999997404758517
CIF01000479,ACC0002000479,Customer_480,Blatena Saving Account,Oromia,19349.49,215,0.9999997404758517
CIF01000473,ACC0002000473,Customer_474,Ordinary Saving Account,Gambela,9133.56,206,0.9999997404758517
CIF01000466,ACC0002000466,Customer_467,Werazut Saving Account,Oromia,44481.32,365,0.9999997404758517
CIF01000452,ACC0002000452,Customer_453,Special Saving Account,Oromia,7331.09,280,0.9999997404758517
CIF01000447,ACC0002000447,Customer_448,Abew Saving Account,Addis Ababa,12435.3,314,0.9999997404758517
CIF01000444,ACC0002000444,Customer_445,Ordinary Saving Account,Oromia,774.41,293,0.9999997404758517
CIF01000422,ACC0002000422,Customer_423,Hiruyan Saving Account,Dire Dawa,178170.08,243,0.9999997404758517
