CIF,Account Number,Account Name,Branch Code,Branch Name,Sex,Age,Age_Group,Region,Product Type,Product Code,Opening Date,Last_Transaction_Date,Initial_Deposit,End Balance,Account_Tenure_Years,Days_Since_Last_Txn,ACTIVE_ACCOUNT,INOPERATIVE,DORMANT,Debit Freez,Credit Freez,RFM_Score,RFM_Segment,Segment_Label,CLV_Predicted,CLV_Tier,Churn_Probability,Churn_Risk_Band,Dormancy_Risk_Score,Dormancy_Risk_Band,Lookalike_Score
CIF01000000,ACC0002000000,Customer_1,BR003,Branch_3,M,52,46-55,Oromia,Ordinary Saving Account,PRD001,2023-03-19,2025-12-20,9288.51,26380.63,2.79,11,1,0,0,0,0,14,Champions,High-CLV Active,50919.188,Mid-CLV,7.712003040203452e-07,Low Risk,2.9520162389037032e-08,Safe,0.054687216156920564
CIF01000001,ACC0002000001,Customer_2,BR024,Branch_24,F,56,56+,Addis Ababa,Blatena Saving Account,PRD002,2016-06-20,2022-11-21,2852.81,2288.02,9.53,1136,0,0,1,0,0,7,Mid Value,Dormant Risk,51846.805,Mid-CLV,0.9999999816976862,Critical Risk,2.952016236008268e-08,Safe,0.04301579953269298
CIF01000002,ACC0002000002,Customer_3,BR020,Branch_20,F,38,36-45,Addis Ababa,Ordinary Saving Account,PRD001,2021-08-19,2024-04-06,3137.09,7556.28,4.37,634,0,0,1,0,0,10,High Value,Mid-Value Growth,39828.285,Mid-CLV,0.9999997320660635,Critical Risk,2.952016236008268e-08,Safe,0.05208067261649876
CIF01000003,ACC0002000003,Customer_4,BR014,Branch_14,M,20,18-25,Amhara,Agape Saving Account,PRD015,2025-05-18,2025-10-06,6572.06,4858.62,0.62,86,1,0,0,0,0,12,Champions,High-CLV Active,29811.957,Low-CLV,2.2119317291576982e-06,Low Risk,2.9520162389037032e-08,Safe,0.012951425964232504
CIF01000004,ACC0002000004,Customer_5,BR013,Branch_13,M,56,56+,Amhara,Blatena Saving Account,PRD002,2019-03-12,2024-03-28,39596.82,41742.32,6.81,643,0,0,1,0,0,12,Champions,High-CLV Active,70829.8,High-CLV,0.9999992603173589,Critical Risk,2.952016236008268e-08,Safe,0.04537628106532017
CIF01000005,ACC0002000005,Customer_6,BR026,Branch_26,M,22,18-25,Addis Ababa,Ordinary Saving Account,PRD001,2011-09-15,2020-01-25,51961.77,35934.38,14.29,2167,0,0,1,0,0,8,Mid Value,Cross-Sell Ready,85043.03,Top-CLV,0.9999999907439993,Critical Risk,2.952016236008268e-08,Safe,0.11177152581767232
CIF01000006,ACC0002000006,Customer_7,BR003,Branch_3,F,39,36-45,Addis Ababa,Ordinary Saving Account,PRD001,2020-07-06,2024-08-11,2200.77,1388.22,5.49,507,0,0,1,0,0,9,High Value,Mid-Value Growth,41375.664,Mid-CLV,0.9999999084516172,Critical Risk,2.952016236008268e-08,Safe,0.01939734850242313
CIF01000007,ACC0002000007,Customer_8,BR021,Branch_21,F,31,26-35,Amhara,Special Saving Account,PRD007,2022-10-27,2025-04-19,4023.18,3729.3,3.18,256,0,1,0,0,0,11,High Value,Mid-Value Growth,36463.06,Low-CLV,1.1739917423842567e-07,Low Risk,0.9999997404758517,High Dormancy Risk,0.01640831274842218
CIF01000008,ACC0002000008,Customer_9,BR007,Branch_7,F,29,26-35,Oromia,Special Saving Account,PRD007,2014-05-26,2016-11-06,2701.82,2747.89,11.6,3342,0,0,1,0,0,3,Low Value,Dormant Risk,33897.555,Low-CLV,0.9999999401105604,Critical Risk,2.952016236008268e-08,Safe,0.004740272003705347
CIF01000009,ACC0002000009,Customer_10,BR003,Branch_3,M,44,36-45,Oromia,Sitota Saving Deposit,PRD018,2016-09-07,2022-03-10,8706.52,7730.48,9.31,1392,0,0,1,0,0,8,Mid Value,Low Engagement,57901.203,High-CLV,0.999999637337588,Critical Risk,2.952016236008268e-08,Safe,0.03697508001102606
CIF01000010,ACC0002000010,Customer_11,BR016,Branch_16,M,37,36-45,Addis Ababa,Blatena Saving Account,PRD002,2020-01-17,2022-01-08,56555.94,25080.6,5.95,1453,0,0,1,0,0,10,High Value,High-CLV Active,54686.043,High-CLV,0.9999999753390799,Critical Risk,2.952016236008268e-08,Safe,0.020862652131146985
